Reference,Comment,Locality,Sample,Lithology,Age Minimum,Age Maximum,Age Precise,Age,SiO2,TiO2,CaO,Al2O3,MnO,Fe2O3,FeO,FeO.tot,MgO,Na2O,K2O,P2O5,H20 ,CO2,S,F,C,Corg,LOI,Cu,Pb,Hf,Zr,Nb,Ta,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Th,Ni,Co,Cr,Sc,Zn,V,Ga,Rb,Sr,Cs,Ba,U,Cl,Mo,As,Sn,W,Li,Be,Bi,B,Sb,Au (ng/g),Cd,Tl,Ag,Re,Ge,In,Te
"McLennan, Scott M., S. R. Taylor, and K. A. Eriksson. 1983. “Geochemistry of Archean Shales from the Pilbara Supergroup, Western Australia.” Geochimica et Cosmochimica Acta 47 (7): 1211–22. doi:10.1016/0016-7037(83)90063-7.",,"Mullagine Area, George Creek Group",80-06,Turbidite shale,,,3400,3400,57.12,0.68,0,21.53,0.047,x,5.68,5.68,4.03,1.7,3.31,x,x,x,x,x,x,x,5.76,65,13.6,3.61,181,14.2,x,34.2,26.4,56.8,6.14,23.7,4.68,1.13,3.83,0.66,4.25,0.94,2.69,x,2.37,x,10.2,356,46,503,23,x,224,15,x,98,4.48,844,2.25,x,0.91,x,6.27,1.57,x,x,0.1,71,x,x,x,x,x,x,x,x,x
"McLennan, Scott M., S. R. Taylor, and A. Kröner. 1983. “Geochemical Evolution of Archean Shales from South Africa. I. The Swaziland and Pongola Supergroups.” Precambrian Research 22 (1): 93–124. doi:10.1016/0301-9268(83)90060-8 (+references therein).",,"Moodies Group, Swaziland Supergroup, South Africa",79NC123,Shale,,,3300,3300,61.93,0.36,2.59,11.07,0.14,x,7.79,7.79,5.19,0.96,3.59,x,x,x,x,x,x,x,6.36,37,4.78,3.4,115,9.75,x,15.3,14.5,28.9,3.45,13.2,2.39,0.68,2.07,0.36,2.08,0.49,1.39,x,1.29,x,5.28,287,30,643,14,x,65,11,x,x,2.23,345,1.64,x,0.82,x,3.39,0.84,x,x,0.08,25,x,x,x,x,x,x,x,x,x
"McLennan, Scott M., S. R. Taylor, and A. Kröner. 1983. “Geochemical Evolution of Archean Shales from South Africa. I. The Swaziland and Pongola Supergroups.” Precambrian Research 22 (1): 93–124. doi:10.1016/0301-9268(83)90060-8 (+references therein).",,"Moodies Group, Swaziland Supergroup, South Africa",79NC124,Shale,,,3300,3300,59.44,0.38,1.92,13.3,0.139,x,6.01,6.01,4.97,2.07,4.62,x,x,x,x,x,x,x,7.18,3.3,9.67,3.1,131,10.1,x,20.7,16.7,35.7,3.77,14.7,2.73,0.73,2.14,0.37,2.18,0.5,1.57,x,1.38,x,5.18,287,36,577,15,x,91,13,x,x,4.03,547,1.54,x,0.99,x,4.17,1.13,x,x,0.13,31,x,x,x,x,x,x,x,x,x
"McLennan, Scott M., S. R. Taylor, and A. Kröner. 1983. “Geochemical Evolution of Archean Shales from South Africa. I. The Swaziland and Pongola Supergroups.” Precambrian Research 22 (1): 93–124. doi:10.1016/0301-9268(83)90060-8 (+references therein).",,"Moodies Group, Swaziland Supergroup, South Africa",79NC129,Shale,,,3300,3300,58.12,0.55,0.58,15.37,0.106,x,9.21,9.21,5.45,2.03,4.71,x,x,x,x,x,x,x,3.89,3,9.63,4.43,209,13.7,x,26.3,34.6,70.3,7.28,28.9,5.28,1.27,3.61,0.56,3.3,0.77,2.26,x,2.04,x,7.08,394,39,822,18,x,124,13,x,x,3.81,606,2.36,x,1.29,x,6.44,1.19,x,x,0.11,34,x,x,x,x,x,x,x,x,x
"McLennan, Scott M., S. R. Taylor, and A. Kröner. 1983. “Geochemical Evolution of Archean Shales from South Africa. I. The Swaziland and Pongola Supergroups.” Precambrian Research 22 (1): 93–124. doi:10.1016/0301-9268(83)90060-8 (+references therein).",,"Moodies Group, Swaziland Supergroup, South Africa",79NC130,Shale,,,3300,3300,61.59,0.47,0.87,14.86,0.09,x,6.46,6.46,4.78,2.21,5.94,x,x,x,x,x,x,x,2.74,68,8.09,5.06,109,10.9,x,22.1,18.4,37.8,4.34,17,3.01,0.8,2.38,0.42,2.42,0.55,1.6,x,1.63,x,6.21,323,35,679,15,x,100,16,x,x,20.2,718,1.92,x,1.41,x,5.41,3.4,x,x,0.11,28,x,x,x,x,x,x,x,x,x
"McLennan, Scott M., S. R. Taylor, and A. Kröner. 1983. “Geochemical Evolution of Archean Shales from South Africa. I. The Swaziland and Pongola Supergroups.” Precambrian Research 22 (1): 93–124. doi:10.1016/0301-9268(83)90060-8 (+references therein).",,"Moodies Group, Swaziland Supergroup, South Africa",79NC131,Shale,,,3300,3300,55.53,0.43,0.8,15.04,0.15,x,7.34,7.34,5.07,1.52,5.49,x,x,x,x,x,x,x,8.61,25,5.86,5.52,175,10.7,x,23.1,26.7,54.8,6.38,24.3,4.64,1.3,3.94,0.61,3.53,0.79,2.22,x,2.13,x,7.21,366,36,855,15,x,109,14,x,x,6.55,458,2.31,x,1.46,x,5.04,3.81,x,x,0.06,87,x,x,x,x,x,x,x,x,x
"Lobach-Zhuchenko, S. B., V. V. Balagansky, Sh K. Baltybaev, G. V. Artemenko, E. S. Bogomolov, A. V. Yurchenko, L. M. Stepanyuk, and V. V. Sukach. 2014. “Metasedimentary Rocks of the Paleoarchean Dniester-Bug Group, Ukrainian Shield: Composition, Age, and Sources.” Lithology and Mineral Resources 49 (5): 381–97. doi:10.1134/S002449021405006X.",,Dniester-Bug Group,UR17/14,Metasediments,,,3300,3300,91.2,0.12,2.98,3.23,0.04,x,1.07,1.07,0.81,0.71,0.18,0.14,x,x,x,x,x,x,x,16.4,4.1,2.52,107,0.85,0.11,3.2,11.8,17.1,1.84,5.2,0.79,0.22,1,0.12,0.53,0.11,0.27,0.04,0.29,0.06,3.92,13,5.5,67,x,23,10,4.06,x,12,x,40,0.99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Lobach-Zhuchenko, S. B., V. V. Balagansky, Sh K. Baltybaev, G. V. Artemenko, E. S. Bogomolov, A. V. Yurchenko, L. M. Stepanyuk, and V. V. Sukach. 2014. “Metasedimentary Rocks of the Paleoarchean Dniester-Bug Group, Ukrainian Shield: Composition, Age, and Sources.” Lithology and Mineral Resources 49 (5): 381–97. doi:10.1134/S002449021405006X.",,Dniester-Bug Group,UR82/6,Metasediments,,,3300,3300,91.3,0.08,0.87,3.75,0.018,x,1.41,1.41,0.33,0.58,1.33,x,x,x,x,x,x,x,x,x,x,2.68,x,1.4,x,2.1,9.3,15,1.4,5.01,0.72,0.26,0.66,0.1,0.04,0.07,0.18,0.02,0.23,0.04,x,55,9,105,x,x,20,x,22,16,x,230,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Lobach-Zhuchenko, S. B., V. V. Balagansky, Sh K. Baltybaev, G. V. Artemenko, E. S. Bogomolov, A. V. Yurchenko, L. M. Stepanyuk, and V. V. Sukach. 2014. “Metasedimentary Rocks of the Paleoarchean Dniester-Bug Group, Ukrainian Shield: Composition, Age, and Sources.” Lithology and Mineral Resources 49 (5): 381–97. doi:10.1134/S002449021405006X.",,Dniester-Bug Group,UR93/3,Metasediments,,,3300,3300,92.41,0.07,1.11,2.36,0.03,x,1.59,1.59,0.7,0.59,0.1,0.01,x,x,x,x,x,x,x,x,24.1,2.68,102,1.37,0.12,4.3,8.4,14.6,1.51,4.92,1,1,0.97,0.13,0.76,0.16,0.4,0.06,0.42,0.05,4.5,41,x,45.3,1.67,x,17,3.71,x,20,x,147,1.76,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Lobach-Zhuchenko, S. B., V. V. Balagansky, Sh K. Baltybaev, G. V. Artemenko, E. S. Bogomolov, A. V. Yurchenko, L. M. Stepanyuk, and V. V. Sukach. 2014. “Metasedimentary Rocks of the Paleoarchean Dniester-Bug Group, Ukrainian Shield: Composition, Age, and Sources.” Lithology and Mineral Resources 49 (5): 381–97. doi:10.1134/S002449021405006X.",,Dniester-Bug Group,UR98/1,Metasediments,,,3300,3300,95.93,0.05,0.32,1.77,0.01,x,0.63,0.63,0.26,0.41,0.12,x,x,x,x,x,x,x,x,x,x,x,327,x,x,1.1,4.26,6.27,0.6,1.9,0.23,0.18,0.16,0.03,0.13,0.04,0.09,0.03,0.15,0.03,1.52,65,2.5,135,x,x,11,x,2.26,13,x,107,0.55,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Lobach-Zhuchenko, S. B., V. V. Balagansky, Sh K. Baltybaev, G. V. Artemenko, E. S. Bogomolov, A. V. Yurchenko, L. M. Stepanyuk, and V. V. Sukach. 2014. “Metasedimentary Rocks of the Paleoarchean Dniester-Bug Group, Ukrainian Shield: Composition, Age, and Sources.” Lithology and Mineral Resources 49 (5): 381–97. doi:10.1134/S002449021405006X.",,Dniester-Bug Group,UR91/2,Metasediments,,,3300,3300,80.9,0.19,2.96,6.86,0.06,x,3.45,3.45,2.23,1.36,0.51,0.02,x,x,x,x,x,x,x,x,x,4.92,147,1.68,0.25,0.5,9.88,15.21,1.6,7.6,2,0.44,1.89,0.25,1.33,0.24,0.66,0.09,0.58,0.08,12.1,86,20,107,5.23,44,48,6.9,0.7,29,x,205,3.91,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Lobach-Zhuchenko, S. B., V. V. Balagansky, Sh K. Baltybaev, G. V. Artemenko, E. S. Bogomolov, A. V. Yurchenko, L. M. Stepanyuk, and V. V. Sukach. 2014. “Metasedimentary Rocks of the Paleoarchean Dniester-Bug Group, Ukrainian Shield: Composition, Age, and Sources.” Lithology and Mineral Resources 49 (5): 381–97. doi:10.1134/S002449021405006X.",,Dniester-Bug Group,UR91/5,Metasediments,,,3300,3300,74,0.4,3.64,8.25,0.1,x,6.44,6.44,4.43,1.32,0.24,x,x,x,x,x,x,x,x,207,2,1.34,40,1.7,0.15,8,2.67,4.2,0.55,2.34,0.72,0.1,0.98,0.19,1.5,0.37,1.26,0.2,1.48,0.22,0.1,171,31,133,18.5,72.3,137,9.2,1.3,48,x,125,0.09,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Lobach-Zhuchenko, S. B., V. V. Balagansky, Sh K. Baltybaev, G. V. Artemenko, E. S. Bogomolov, A. V. Yurchenko, L. M. Stepanyuk, and V. V. Sukach. 2014. “Metasedimentary Rocks of the Paleoarchean Dniester-Bug Group, Ukrainian Shield: Composition, Age, and Sources.” Lithology and Mineral Resources 49 (5): 381–97. doi:10.1134/S002449021405006X.",,Dniester-Bug Group,UR89/6,Metasediments,,,3300,3300,91.02,0.12,1.06,3.4,0.03,x,1.62,1.62,0.71,0.75,0.47,x,x,x,x,x,x,x,x,184,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Lobach-Zhuchenko, S. B., V. V. Balagansky, Sh K. Baltybaev, G. V. Artemenko, E. S. Bogomolov, A. V. Yurchenko, L. M. Stepanyuk, and V. V. Sukach. 2014. “Metasedimentary Rocks of the Paleoarchean Dniester-Bug Group, Ukrainian Shield: Composition, Age, and Sources.” Lithology and Mineral Resources 49 (5): 381–97. doi:10.1134/S002449021405006X.",,Dniester-Bug Group,UR82/10,Metasediments,,,3300,3300,84.58,0.23,1.09,1.47,0.1,x,9,9,0.84,0.12,0.1,0.06,x,x,x,x,x,x,x,x,x,x,x,1.4,x,11,3.84,7.02,0.86,4.1,1.32,0.39,1.74,0.24,1.74,0.32,10.7,0.16,0.95,0.14,x,56,16,71,x,x,68,x,2,9,x,140,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Lobach-Zhuchenko, S. B., V. V. Balagansky, Sh K. Baltybaev, G. V. Artemenko, E. S. Bogomolov, A. V. Yurchenko, L. M. Stepanyuk, and V. V. Sukach. 2014. “Metasedimentary Rocks of the Paleoarchean Dniester-Bug Group, Ukrainian Shield: Composition, Age, and Sources.” Lithology and Mineral Resources 49 (5): 381–97. doi:10.1134/S002449021405006X.",,Dniester-Bug Group,UR89/5,Metasediments,,,3300,3300,60.3,0.56,3.59,11.43,0.36,x,15.91,15.91,4,0.74,0.17,0.1,x,x,x,x,x,x,x,x,1.98,3.06,97,3,0.41,42,5.2,9.45,1.15,6.4,2.94,0.72,4.49,0.92,6.82,1.46,4.75,0.7,5.08,0.71,2.8,83,33,158,29,120,183,13,1.9,23,x,111,0.84,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Lobach-Zhuchenko, S. B., V. V. Balagansky, Sh K. Baltybaev, G. V. Artemenko, E. S. Bogomolov, A. V. Yurchenko, L. M. Stepanyuk, and V. V. Sukach. 2014. “Metasedimentary Rocks of the Paleoarchean Dniester-Bug Group, Ukrainian Shield: Composition, Age, and Sources.” Lithology and Mineral Resources 49 (5): 381–97. doi:10.1134/S002449021405006X.",,Dniester-Bug Group,UR89/4,Metasediments,,,3300,3300,49.72,0.86,2.2,14.64,0.36,x,24.72,24.72,4.58,0.12,0.02,0.15,x,x,x,x,x,x,x,262,0.4,3.36,114,4,0.46,x,2.8,6.89,1,6.65,2.97,0.66,3.92,0.7,4.83,0.94,2.9,0.39,2.76,0.37,0.27,231,88,298,x,142,350,x,0.6,4,x,x,0.59,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Lobach-Zhuchenko, S. B., V. V. Balagansky, Sh K. Baltybaev, G. V. Artemenko, E. S. Bogomolov, A. V. Yurchenko, L. M. Stepanyuk, and V. V. Sukach. 2014. “Metasedimentary Rocks of the Paleoarchean Dniester-Bug Group, Ukrainian Shield: Composition, Age, and Sources.” Lithology and Mineral Resources 49 (5): 381–97. doi:10.1134/S002449021405006X.",,Dniester-Bug Group,UR89/7,Metasediments,,,3300,3300,48.47,0.63,3,16.43,0.18,x,23.95,23.95,4.31,0.7,0.36,0.1,x,x,x,x,x,x,x,860,x,1.83,64,7.6,2.21,24,13.8,29.1,3.5,13.3,3.1,1.05,3.74,0.61,3.83,0.84,2.5,0.38,2.08,0.37,0.58,x,x,x,x,x,x,x,3.8,120,x,106,0.19,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Lobach-Zhuchenko, S. B., V. V. Balagansky, Sh K. Baltybaev, G. V. Artemenko, E. S. Bogomolov, A. V. Yurchenko, L. M. Stepanyuk, and V. V. Sukach. 2014. “Metasedimentary Rocks of the Paleoarchean Dniester-Bug Group, Ukrainian Shield: Composition, Age, and Sources.” Lithology and Mineral Resources 49 (5): 381–97. doi:10.1134/S002449021405006X.",,Dniester-Bug Group,UR89/14,Metasediments,,,3300,3300,35.3,1.23,2.71,20.13,0.54,x,32.55,32.55,6.22,0.02,0.02,0.09,x,x,x,x,x,x,x,x,0.4,0.81,24,5.5,0.55,30,0.51,0.73,0.2,2.59,3.97,0.76,5.2,0.89,6.88,1.38,3.91,0.57,3.8,0.54,0.29,33,43,604,x,104,747,x,0.3,3.3,x,41,0.12,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Lobach-Zhuchenko, S. B., V. V. Balagansky, Sh K. Baltybaev, G. V. Artemenko, E. S. Bogomolov, A. V. Yurchenko, L. M. Stepanyuk, and V. V. Sukach. 2014. “Metasedimentary Rocks of the Paleoarchean Dniester-Bug Group, Ukrainian Shield: Composition, Age, and Sources.” Lithology and Mineral Resources 49 (5): 381–97. doi:10.1134/S002449021405006X.",,Dniester-Bug Group,UR93/9,Metasediments,,,3300,3300,51.66,0.57,1.44,3,0.09,x,37.82,37.82,2.53,0.19,0.04,0.14,x,x,x,x,x,x,x,65,54.9,0.88,35,2.37,x,6.7,2.97,6.55,0.88,3.63,0.84,0.15,1.07,0.18,1.07,0.22,0.66,0.07,0.54,0.08,0.64,94,55,43,7.93,55,71.1,9.33,x,5,x,151,0.15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Lobach-Zhuchenko, S. B., V. V. Balagansky, Sh K. Baltybaev, G. V. Artemenko, E. S. Bogomolov, A. V. Yurchenko, L. M. Stepanyuk, and V. V. Sukach. 2014. “Metasedimentary Rocks of the Paleoarchean Dniester-Bug Group, Ukrainian Shield: Composition, Age, and Sources.” Lithology and Mineral Resources 49 (5): 381–97. doi:10.1134/S002449021405006X.",,Dniester-Bug Group,UR86/2,Metasediments,,,3300,3300,55.36,0.17,2.82,3.22,0.32,x,29.18,29.18,6.37,x,0.28,0.11,x,x,x,x,x,x,x,x,x,x,24,3.3,0.13,10.7,4.61,10.1,1.5,5.55,1.08,0.34,1.25,0.21,0.36,0.3,1.02,0.13,0.96,0.13,0.45,47,13,175,x,x,53,x,12,21,x,653,0.1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Lobach-Zhuchenko, S. B., V. V. Balagansky, Sh K. Baltybaev, G. V. Artemenko, E. S. Bogomolov, A. V. Yurchenko, L. M. Stepanyuk, and V. V. Sukach. 2014. “Metasedimentary Rocks of the Paleoarchean Dniester-Bug Group, Ukrainian Shield: Composition, Age, and Sources.” Lithology and Mineral Resources 49 (5): 381–97. doi:10.1134/S002449021405006X.",,Dniester-Bug Group,UR86/1,Metasediments,,,3300,3300,59.62,0.21,2.04,1.85,0.11,x,30.42,30.42,5.47,x,0.04,0.04,x,x,x,x,x,x,x,x,x,x,10,2.2,0.89,4.7,1.12,2.81,0.4,1.85,0.55,0.16,0.51,0.1,0.63,0.14,0.39,0.07,0.42,0.06,0.25,46,14.6,113,x,x,69,x,x,4,,20,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Hofmann, Axel. 2005. “The Geochemistry of Sedimentary Rocks from the Fig Tree Group, Barberton Greenstone Belt: Implications for Tectonic, Hydrothermal and Surface Processes during Mid-Archaean Times.” Precambrian Research 143 (1–4): 23–49. doi:10.1016/j.precamres.2005.09.005.","Note: Study also reports chert & jaspilite samples, which have been omitted","Fig Tree Group, Barberton Greenstone belt",FS1,Shale,,,3250,3250,77.85,0.37,0.25,10.96,0.02,2.6,x,2.34,2.06,x,3.15,0.26,x,x,x,x,x,x,2.65,24.3,6.46,3.82,159,7.4,0.5,20.2,27.11,49.39,5.18,19.54,4.11,1.02,4.89,0.71,4.06,0.79,2.14,0.31,1.95,0.29,10.01,66.7,7.2,70.3,5.3,3,26.3,x,91.2,29.6,1.6,349.4,2.61,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Hofmann, Axel. 2005. “The Geochemistry of Sedimentary Rocks from the Fig Tree Group, Barberton Greenstone Belt: Implications for Tectonic, Hydrothermal and Surface Processes during Mid-Archaean Times.” Precambrian Research 143 (1–4): 23–49. doi:10.1016/j.precamres.2005.09.005.",,"Fig Tree Group, Barberton Greenstone belt",FS3,Shale,,,3250,3250,66.21,0.28,0.04,18.67,0.01,2.01,x,1.81,1.5,x,6.44,0.04,x,x,x,x,x,x,3.54,26.3,7.56,7.78,291,19.5,1.77,54.7,81.21,165.21,18.49,68.91,12.89,2.15,12.01,1.77,10.67,2.2,6.39,1.02,6.75,1.04,26.9,59.4,5.6,156.8,7.5,34.3,31.9,x,178.7,10.3,3.8,1417.2,8.21,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Hofmann, Axel. 2005. “The Geochemistry of Sedimentary Rocks from the Fig Tree Group, Barberton Greenstone Belt: Implications for Tectonic, Hydrothermal and Surface Processes during Mid-Archaean Times.” Precambrian Research 143 (1–4): 23–49. doi:10.1016/j.precamres.2005.09.005.",,"Fig Tree Group, Barberton Greenstone belt",FS6,Greywacke,,,3250,3250,67.55,0.64,0.03,11.45,0.07,11.31,x,10.18,0.84,0.02,4.16,0.09,x,x,x,x,x,x,2.59,33.4,5.14,2.44,96.9,4.2,0.33,11.3,12.4,23.91,2.72,10.18,1.93,0.61,1.83,0.31,2.07,0.44,1.33,0.2,1.34,0.2,3.85,95.3,19.6,911.9,17,94.3,156.3,x,169.4,5.1,7,2740.6,1.44,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Bindeman, I. N., A. Bekker, and D. O. Zakharov. 2016. “Oxygen Isotope Perspective on Crustal Evolution on Early Earth: A Record of Precambrian Shales with Emphasis on Paleoproterozoic Glaciations and Great Oxygenation Event.” Earth and Planetary Science Letters 437 (March): 101–13. doi:10.1016/j.epsl.2015.12.029.",,"Clutha Formation, Moodies Group, Barberton Greenstone Belt, South Africa",28-166 32.4,Shale,,,3200,3200,65.93,0.52,1.82,13.24,0.13,6.49,x,5.84,4.77,1.88,5.04,0.11,x,x,x,x,x,x,0.21,25,5,3,131,13,x,19,34,65,9,22,x,x,x,x,x,x,x,x,x,x,8,262,x,623,8,104,89,16,125,185,x,519,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Bindeman, I. N., A. Bekker, and D. O. Zakharov. 2016. “Oxygen Isotope Perspective on Crustal Evolution on Early Earth: A Record of Precambrian Shales with Emphasis on Paleoproterozoic Glaciations and Great Oxygenation Event.” Earth and Planetary Science Letters 437 (March): 101–13. doi:10.1016/j.epsl.2015.12.029.",,"Clutha Formation, Moodies Group, Barberton Greenstone Belt, South Africa",28-148 43.3,Shale,,,3200,3200,58.53,0.67,0.24,19.02,0.11,8.91,x,8.02,3.74,1.49,6.86,0.09,x,x,x,x,x,x,0.81,36,10,4,121,11,x,25,55,105,9,37,x,x,x,x,x,x,x,x,x,x,9,362,x,708,9,85,136,29,187,68,x,701,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Bindeman, I. N., A. Bekker, and D. O. Zakharov. 2016. “Oxygen Isotope Perspective on Crustal Evolution on Early Earth: A Record of Precambrian Shales with Emphasis on Paleoproterozoic Glaciations and Great Oxygenation Event.” Earth and Planetary Science Letters 437 (March): 101–13. doi:10.1016/j.epsl.2015.12.029.",,"Clutha Formation, Moodies Group, Barberton Greenstone Belt, South Africa",28-148 62.9,Shale,,,3200,3200,64.54,0.53,0.99,14.47,0.1,7.21,x,6.49,4.3,1.97,5.46,0.1,x,x,x,x,x,x,0.92,31,22,3,123,10,x,17,29,57,7,17,x,x,x,x,x,x,x,x,x,x,7,279,x,652,14,66,104,16,130,203,x,738,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Bindeman, I. N., A. Bekker, and D. O. Zakharov. 2016. “Oxygen Isotope Perspective on Crustal Evolution on Early Earth: A Record of Precambrian Shales with Emphasis on Paleoproterozoic Glaciations and Great Oxygenation Event.” Earth and Planetary Science Letters 437 (March): 101–13. doi:10.1016/j.epsl.2015.12.029.",,"Clutha Formation, Moodies Group, Barberton Greenstone Belt, South Africa",28 166 103.2,Shale,,,3200,3200,60.59,0.47,6.8,11.54,0.29,7.39,x,6.65,7.19,1.55,4.01,0.11,x,x,x,x,x,x,0.16,25,x,3,118,9,x,21,21,41,6,15,x,x,x,x,x,x,x,x,x,x,5,233,x,613,19,100,81,13,108,470,x,698,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Fedo, Christopher M., Kenneth A. Eriksson, and Eirik J. Krogstad. 1996. “Geochemistry of Shales from the Archean (~3.0 Ga) Buhwa Greenstone Belt, Zimbabwe: Implications for Provenance and Source-Area Weathering.” Geochimica et Cosmochimica Acta 60 (10): 1751–63. doi:10.1016/0016-7037(96)00058-0.",,"Buhwa Greenstone Belt, Zimbabwe craton",ZB 2,Shale,3090,3500,,3090,61.07,0.55,0.05,18.55,0.075,6.43,x,5.79,2.96,0.1,5.75,0.05,x,x,x,x,x,x,3.71,14,x,x,122,8.4,x,19.3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,13,88,14,276,16,30,112,23,154,9.4,x,394,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Fedo, Christopher M., Kenneth A. Eriksson, and Eirik J. Krogstad. 1996. “Geochemistry of Shales from the Archean (~3.0 Ga) Buhwa Greenstone Belt, Zimbabwe: Implications for Provenance and Source-Area Weathering.” Geochimica et Cosmochimica Acta 60 (10): 1751–63. doi:10.1016/0016-7037(96)00058-0.",,"Buhwa Greenstone Belt, Zimbabwe craton",ZB 6,Shale,3090,3500,,3090,64.69,0.54,0.03,18.75,0.041,5.33,x,4.8,1.64,0.15,5.43,0.05,x,x,x,x,x,x,3.26,23,x,x,158,9.5,x,16,x,31.6,x,17.8,3.4,0.8,3.1,x,3.2,x,1.9,x,2,x,15,97,14,360,14,15,96,22,117,25.8,x,877,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Fedo, Christopher M., Kenneth A. Eriksson, and Eirik J. Krogstad. 1996. “Geochemistry of Shales from the Archean (~3.0 Ga) Buhwa Greenstone Belt, Zimbabwe: Implications for Provenance and Source-Area Weathering.” Geochimica et Cosmochimica Acta 60 (10): 1751–63. doi:10.1016/0016-7037(96)00058-0.",,"Buhwa Greenstone Belt, Zimbabwe craton",ZB 12A,Shale,3090,3500,,3090,39.48,0.61,0.05,11.37,0.097,40.69,x,36.61,3.65,x,0.05,0.04,x,x,x,x,x,x,4.37,61,x,x,73,4.9,x,17.8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,5,271,64,1209,13,93,248,17,4.5,1.5,x,15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Fedo, Christopher M., Kenneth A. Eriksson, and Eirik J. Krogstad. 1996. “Geochemistry of Shales from the Archean (~3.0 Ga) Buhwa Greenstone Belt, Zimbabwe: Implications for Provenance and Source-Area Weathering.” Geochimica et Cosmochimica Acta 60 (10): 1751–63. doi:10.1016/0016-7037(96)00058-0.",,"Buhwa Greenstone Belt, Zimbabwe craton",ZB 12B,Shale,3090,3500,,3090,40.45,0.85,0.02,17.43,0.212,29.09,x,26.18,5.31,0.02,0.22,0.02,x,x,x,x,x,x,6.34,121,x,x,89,5.2,x,12.6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6,482,88,1783,31,139,298,18,7.3,3.7,x,3,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Fedo, Christopher M., Kenneth A. Eriksson, and Eirik J. Krogstad. 1996. “Geochemistry of Shales from the Archean (~3.0 Ga) Buhwa Greenstone Belt, Zimbabwe: Implications for Provenance and Source-Area Weathering.” Geochimica et Cosmochimica Acta 60 (10): 1751–63. doi:10.1016/0016-7037(96)00058-0.",,"Buhwa Greenstone Belt, Zimbabwe craton",ZB 14,Shale,3090,3500,,3090,55.62,0.77,0.04,21.91,0.036,9.06,x,8.15,0.78,0.1,5.84,0.02,x,x,x,x,x,x,5.57,43,x,x,107,6,x,14.2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6,70,15,720,40,48,255,23,163,7.9,x,254,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Fedo, Christopher M., Kenneth A. Eriksson, and Eirik J. Krogstad. 1996. “Geochemistry of Shales from the Archean (~3.0 Ga) Buhwa Greenstone Belt, Zimbabwe: Implications for Provenance and Source-Area Weathering.” Geochimica et Cosmochimica Acta 60 (10): 1751–63. doi:10.1016/0016-7037(96)00058-0.",,"Buhwa Greenstone Belt, Zimbabwe craton",ZB 21,Shale,3090,3500,,3090,69.01,0.23,0.02,11.42,0.027,9.61,x,8.65,2.03,0.03,4.11,0.05,x,x,x,x,x,x,3.01,9,x,x,90,5.8,x,11.1,x,24.9,x,11.7,2.1,0.5,1.9,x,1.6,x,1,x,1.1,x,9,118,6,97,8,118,40,15,205,6.9,x,615,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
